example_id,task_type,prompt_len,difficulty,small_correct,small_cost,medium_correct,medium_cost,large_correct,large_cost
1,qa,42,1,1,1,1,3,1,8
2,qa,88,2,1,1,1,3,1,8
3,qa,160,3,0,1,1,3,1,8
4,math,55,2,0,1,1,3,1,8
5,math,210,5,0,1,0,3,1,8
6,math,180,4,0,1,1,3,1,8
7,code,120,3,0,1,1,3,1,8
8,code,240,5,0,1,0,3,1,8
9,code,95,2,1,1,1,3,1,8
10,classification,35,1,1,1,1,3,1,8
11,classification,75,2,1,1,1,3,1,8
12,classification,155,4,0,1,1,3,1,8
13,qa,68,1,1,1,1,3,1,8
14,math,130,3,0,1,1,3,1,8
15,code,300,5,0,1,0,3,1,8
16,qa,115,3,0,1,1,3,1,8
17,classification,210,5,0,1,1,3,1,8
18,math,260,5,0,1,0,3,1,8
19,code,145,4,0,1,1,3,1,8
20,qa,32,1,1,1,1,3,1,8
21,classification,92,2,1,1,1,3,1,8
22,math,80,2,0,1,1,3,1,8
23,code,65,2,1,1,1,3,1,8
24,qa,205,4,0,1,1,3,1,8

