policy,accuracy,avg_cost,utility,regret,route_acc
always_cheap_direct,1.0,1.0,0.95,0.0,
always_medium_fewshot,1.0,3.0,0.85,0.09999999999999998,
always_strong_reasoning,1.0,8.0,0.6,0.35,
random,1.0,5.5,0.725,0.22499999999999998,
oracle,1.0,1.0,0.95,0.0,
threshold_cheap_self_confidence_0.5,1.0,1.0,0.95,0.0,
threshold_cheap_self_confidence_0.7,1.0,1.0,0.95,0.0,
threshold_cheap_self_confidence_0.9,1.0,4.5,0.775,0.175,
logistic_router,1.0,1.0,0.95,0.0,
random_forest_router,1.0,1.0,0.95,0.0,
mlp_router,1.0,1.0,0.95,0.0,
tfidf_logistic_router,1.0,1.0,0.95,0.0,
tfidf_mlp_router,1.0,1.0,0.95,0.0,
