group,models,policy,accuracy_mean,accuracy_std,avg_cost_mean,utility_mean,regret_mean,route_acc_mean
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",oracle,0.9411167512690355,0.01323695919838101,6.820108426395938e-05,0.9411167512690355,0.0,1.0
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",always_deepseek_v3,0.9096446700507614,0.01408572276701688,7.016642030456854e-05,0.9096446700507614,0.03147208121827411,0.9685279187817258
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",correctness_tfidf_logistic,0.9045685279187816,0.0083409526523629,4.616367512690355e-05,0.9045685279187816,0.0365482233502538,0.550253807106599
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",correctness_logistic,0.9035532994923858,0.003589374523789592,4.310168324873096e-05,0.9035532994923858,0.03756345177664975,0.4913705583756345
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",correctness_random_forest,0.9015228426395939,0.016681905304725894,4.847282030456853e-05,0.9015228426395939,0.03959390862944162,0.5634517766497462
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",correctness_extra_trees,0.900507614213198,0.013714980798077458,4.553069441624365e-05,0.900507614213198,0.04060913705583756,0.5035532994923858
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",random,0.8802030456852792,0.013236959198380988,4.216349238578681e-05,0.8802030456852792,0.06091370558375635,0.4944162436548223
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",always_granite_8b,0.8446700507614213,0.01629117414810275,1.5827766497461926e-05,0.8446700507614213,0.09644670050761421,0.03147208121827411
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",oracle,0.9593908629441625,0.01564572081971821,0.00011951741116751269,0.9593908629441625,0.0,1.0
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",always_gemini_flash_lite,0.9441624365482234,0.013430209700835477,0.0001207766497461929,0.9441624365482234,0.015228426395939087,0.9847715736040609
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",correctness_tfidf_logistic,0.9380710659898478,0.01539670140924172,9.690582131979694e-05,0.9380710659898478,0.02131979695431472,0.5116751269035533
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",correctness_logistic,0.9370558375634518,0.011121270203150553,9.608639390862943e-05,0.9370558375634518,0.02233502538071066,0.4873096446700507
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",correctness_extra_trees,0.9340101522842639,0.013901587753938252,9.34708e-05,0.9340101522842639,0.025380710659898477,0.43350253807106603
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",correctness_random_forest,0.932994923857868,0.014085722767016896,9.662844263959391e-05,0.932994923857868,0.026395939086294416,0.4883248730964467
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",random,0.9279187817258883,0.016604494653600144,9.533475532994924e-05,0.9279187817258883,0.03147208121827411,0.4903553299492386
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",always_deepseek_v3,0.9096446700507614,0.01408572276701688,7.016642030456854e-05,0.9096446700507614,0.049746192893401014,0.015228426395939087
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",oracle,0.9695431472081217,0.013901587753938238,0.00011715878172588833,0.9695431472081217,0.0,1.0
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",always_gemini_flash_lite,0.9441624365482234,0.013430209700835477,0.0001207766497461929,0.9441624365482234,0.025380710659898477,0.9746192893401016
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",correctness_random_forest,0.9289340101522843,0.025125621666527046,7.932741116751268e-05,0.9289340101522843,0.04060913705583756,0.5573604060913706
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",correctness_extra_trees,0.9238578680203047,0.021833312860514265,7.543522842639593e-05,0.9238578680203047,0.045685279187817264,0.5116751269035533
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",correctness_tfidf_logistic,0.9167512690355331,0.011686156784996278,7.878294416243655e-05,0.9167512690355331,0.05279187817258883,0.549238578680203
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",correctness_logistic,0.9106598984771572,0.015890838418780206,7.372903553299493e-05,0.9106598984771572,0.05888324873096447,0.4944162436548224
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",random,0.898477157360406,0.014357498095158336,6.733182741116752e-05,0.898477157360406,0.07106598984771574,0.49847715736040604
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",always_granite_8b,0.8446700507614213,0.01629117414810275,1.5827766497461926e-05,0.8446700507614213,0.1248730964467005,0.025380710659898477
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",oracle,0.9654822335025381,0.013620718644668739,0.00011905903451776649,0.9654822335025381,0.0,1.0
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",always_gemini_flash_lite,0.9441624365482234,0.013430209700835477,0.0001207766497461929,0.9441624365482234,0.02131979695431472,0.9786802030456853
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",correctness_random_forest,0.9441624365482234,0.014799370291485581,8.968581218274111e-05,0.9441624365482234,0.02131979695431472,0.5228426395939086
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",correctness_extra_trees,0.9380710659898478,0.01362071864466879,8.726365482233502e-05,0.9380710659898478,0.027411167512690356,0.46700507614213194
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",correctness_tfidf_logistic,0.9370558375634518,0.015058271039788134,8.871867512690356e-05,0.9370558375634518,0.02842639593908629,0.500507614213198
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",correctness_logistic,0.9360406091370559,0.015480152976626336,8.655118984771573e-05,0.9360406091370559,0.029441624365482234,0.4598984771573604
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",random,0.9299492385786803,0.020113312442800946,8.712976040609138e-05,0.9299492385786803,0.03553299492385787,0.500507614213198
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",always_llama_70b,0.9055837563451776,0.019528308692052153,5.497794314720812e-05,0.9055837563451776,0.05989847715736041,0.02131979695431472
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",oracle,0.9695431472081217,0.014799370291485533,0.0001173669157360406,0.9695431472081217,0.0,1.0
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",always_gemini_flash_lite,0.9441624365482234,0.013430209700835477,0.0001207766497461929,0.9441624365482234,0.025380710659898477,0.9746192893401016
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",correctness_random_forest,0.9279187817258883,0.013620718644668803,8.190372751269035e-05,0.9279187817258883,0.04162436548223351,0.5329949238578681
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",random,0.9258883248730964,0.01371498079807745,7.196547492385787e-05,0.9258883248730964,0.04365482233502538,0.4903553299492385
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",correctness_logistic,0.9238578680203047,0.014799370291485552,7.652978355329949e-05,0.9238578680203047,0.04568527918781726,0.4974619289340102
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",correctness_tfidf_logistic,0.9238578680203047,0.017214035490165692,7.941359796954314e-05,0.9238578680203047,0.04568527918781726,0.5309644670050762
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",correctness_extra_trees,0.915736040609137,0.011686156784996281,7.374049421319798e-05,0.915736040609137,0.05380710659898478,0.4517766497461929
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",always_qwen_30b,0.9055837563451776,0.013714980798077458,2.4843342538071064e-05,0.9055837563451776,0.06395939086294417,0.025380710659898477
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",oracle,0.9512690355329949,0.014624223645571508,5.5873645685279195e-05,0.9512690355329949,0.0,1.0
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",correctness_tfidf_logistic,0.9238578680203047,0.020304568527918777,6.329848629441624e-05,0.9238578680203047,0.027411167512690356,0.47106598984771575
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",correctness_logistic,0.9228426395939087,0.014535858947488694,6.274286903553299e-05,0.9228426395939087,0.028426395939086295,0.5208121827411167
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",correctness_extra_trees,0.9197969543147207,0.02789569881022151,6.326918172588833e-05,0.9197969543147207,0.03147208121827411,0.5360406091370559
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",correctness_random_forest,0.918781725888325,0.017214035490165654,6.260634720812182e-05,0.918781725888325,0.032487309644670045,0.47005076142131974
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",always_deepseek_v3,0.9096446700507614,0.01408572276701688,7.016642030456854e-05,0.9096446700507614,0.04162436548223351,0.04568527918781726
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",always_llama_70b,0.9055837563451776,0.019528308692052153,5.497794314720812e-05,0.9055837563451776,0.04568527918781726,0.9543147208121827
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",random,0.9035532994923858,0.020929470180800297,6.318293807106598e-05,0.9035532994923858,0.047715736040609136,0.4883248730964467
2model_llama_70b_granite_8b,"llama_70b,granite_8b",oracle,0.9461928934010153,0.02200962780576532,5.3492161421319795e-05,0.9461928934010153,0.0,1.0
2model_llama_70b_granite_8b,"llama_70b,granite_8b",always_llama_70b,0.9055837563451776,0.019528308692052153,5.497794314720812e-05,0.9055837563451776,0.04060913705583756,0.9593908629441625
2model_llama_70b_granite_8b,"llama_70b,granite_8b",correctness_random_forest,0.900507614213198,0.026278536254913262,4.0007008121827414e-05,0.900507614213198,0.04568527918781726,0.5969543147208122
2model_llama_70b_granite_8b,"llama_70b,granite_8b",correctness_tfidf_logistic,0.900507614213198,0.0290717178949774,3.864932081218274e-05,0.900507614213198,0.045685279187817264,0.5411167512690356
2model_llama_70b_granite_8b,"llama_70b,granite_8b",correctness_extra_trees,0.899492385786802,0.025227966781297823,3.917801319796954e-05,0.899492385786802,0.046700507614213196,0.566497461928934
2model_llama_70b_granite_8b,"llama_70b,granite_8b",correctness_logistic,0.898477157360406,0.02848977705665439,3.632186700507614e-05,0.898477157360406,0.04771573604060914,0.5015228426395939
2model_llama_70b_granite_8b,"llama_70b,granite_8b",random,0.8741116751269036,0.018089877848939534,3.5180010152284265e-05,0.8741116751269036,0.07208121827411167,0.4873096446700508
