policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
always_gemini_flash_lite,0.9137055837563451,0.00012077157360406092,0.9137055837563451,0.07614213197969544,0.0,0.9238578680203046
always_gemini_flash,0.8781725888324873,0.00018899238578680202,0.8781725888324873,0.1116751269035533,0.0,0.025380710659898477
always_mistral_nemo,0.6598984771573604,7.035177664974619e-06,0.6598984771573604,0.3299492385786802,0.0,0.02030456852791878
always_qwen_30b,0.868020304568528,2.3474460913705585e-05,0.868020304568528,0.1218274111675127,0.0,0.01015228426395939
always_llama_70b,0.8934010152284264,5.343402538071066e-05,0.8934010152284264,0.09644670050761421,0.0,0.005076142131979695
always_deepseek_v3,0.883248730964467,7.042395939086295e-05,0.883248730964467,0.1065989847715736,0.0,0.005076142131979695
always_ring_1t,0.41116751269035534,9.881421319796955e-05,0.41116751269035534,0.5786802030456852,0.0,0.005076142131979695
always_minimax_m3,0.5736040609137056,0.00021227939086294415,0.5736040609137056,0.41624365482233505,0.0,0.0
always_granite_8b,0.8375634517766497,1.603908629441624e-05,0.8375634517766497,0.15228426395939088,0.0,0.005076142131979695
always_step_flash,0.07614213197969544,0.00020856751269035534,0.07614213197969544,0.9137055837563451,0.0,0.0
random,0.6954314720812182,0.000109330261928934,0.6954314720812182,0.29441624365482233,0.0,0.10152284263959391
oracle,0.9898477157360406,0.00011998519086294418,0.9898477157360406,0.0,0.0,1.0
logistic_router,0.8934010152284264,0.00010714849340101525,0.8934010152284264,0.09644670050761421,0.0,0.5634517766497462
linear_svm_router,0.9035532994923858,0.00011849391472081218,0.9035532994923858,0.08629441624365482,0.0,0.8223350253807107
knn_router,0.9137055837563451,0.00012077157360406092,0.9137055837563451,0.07614213197969544,0.0,0.9238578680203046
decision_tree_router,0.883248730964467,0.00010016489949238577,0.883248730964467,0.1065989847715736,0.0,0.583756345177665
random_forest_router,0.8883248730964467,0.00011738416243654823,0.8883248730964467,0.10152284263959391,0.0,0.8223350253807107
extra_trees_router,0.883248730964467,0.00011062973299492386,0.883248730964467,0.1065989847715736,0.0,0.649746192893401
tfidf_logistic_router,0.8984771573604061,0.00011297043654822336,0.8984771573604061,0.09137055837563451,0.0,0.751269035532995
tfidf_linear_svm_router,0.9035532994923858,0.0001205266497461929,0.9035532994923858,0.08629441624365482,0.0,0.9137055837563451
always_gemini_flash_lite,0.9137055837563451,0.00012077157360406092,0.9016284263959391,0.08691760253807107,100.0,0.01015228426395939
always_gemini_flash,0.8781725888324873,0.00018899238578680202,0.8592733502538071,0.12927267868020303,100.0,0.0
always_mistral_nemo,0.6598984771573604,7.035177664974619e-06,0.659194959390863,0.3293510695431472,100.0,0.5939086294416244
always_qwen_30b,0.868020304568528,2.3474460913705585e-05,0.8656728584771572,0.1228731704568528,100.0,0.14720812182741116
always_llama_70b,0.8934010152284264,5.343402538071066e-05,0.8880576126903554,0.1004884162436548,100.0,0.01015228426395939
always_deepseek_v3,0.883248730964467,7.042395939086295e-05,0.8762063350253806,0.11233969390862944,100.0,0.015228426395939087
always_ring_1t,0.41116751269035534,9.881421319796955e-05,0.4012860913705584,0.5872599375634517,100.0,0.005076142131979695
always_minimax_m3,0.5736040609137056,0.00021227939086294415,0.5523761218274111,0.436169907106599,100.0,0.0
always_granite_8b,0.8375634517766497,1.603908629441624e-05,0.8359595431472081,0.15258648578680203,100.0,0.2182741116751269
always_step_flash,0.07614213197969544,0.00020856751269035534,0.05528538071065991,0.9332606482233502,100.0,0.0
random,0.6954314720812182,0.000109330261928934,0.684498445888325,0.3040475830456853,100.0,0.06598984771573604
