group,models,best_fixed,fixed_acc,best_router,router_acc,gain,oracle_acc
2model_llama_70b_granite_8b,"llama_70b,granite_8b",always_llama_70b,0.8944162436548224,linear_svm_router,0.90253807106599,0.008121827411167626,0.9401015228426396
2model_llama_70b_deepseek_v3,"llama_70b,deepseek_v3",always_deepseek_v3,0.9076142131979696,linear_svm_router,0.9147208121827411,0.007106598984771506,0.9522842639593908
3model_qwen_30b_llama_70b_granite_8b,"qwen_30b,llama_70b,granite_8b",always_qwen_30b,0.899492385786802,tfidf_linear_svm_router,0.90253807106599,0.0030456852791880262,0.9573604060913704
2model_qwen_30b_llama_70b,"qwen_30b,llama_70b",always_qwen_30b,0.899492385786802,tfidf_linear_svm_router,0.90253807106599,0.0030456852791880262,0.9451776649746192
2model_gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",always_gemini_flash_lite,0.9197969543147207,tfidf_logistic_router,0.9228426395939088,0.0030456852791880262,0.9522842639593908
3model_gemini_flash_lite_qwen_30b_deepseek_v3,"gemini_flash_lite,qwen_30b,deepseek_v3",always_gemini_flash_lite,0.9197969543147207,tfidf_logistic_router,0.9218274111675128,0.0020304568527920175,0.9593908629441624
2model_gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",always_gemini_flash_lite,0.9197969543147207,linear_svm_router,0.9218274111675128,0.0020304568527920175,0.950253807106599
3model_gemini_flash_lite_deepseek_v3_granite_8b,"gemini_flash_lite,deepseek_v3,granite_8b",always_gemini_flash_lite,0.9197969543147207,logistic_router,0.9218274111675128,0.0020304568527920175,0.964467005076142
2model_qwen_30b_granite_8b,"qwen_30b,granite_8b",always_qwen_30b,0.899492385786802,tfidf_linear_svm_router,0.900507614213198,0.0010152284263960087,0.93502538071066
2model_gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",always_gemini_flash_lite,0.9197969543147207,knn_router,0.9197969543147207,0.0,0.950253807106599
3model_gemini_flash_lite_llama_70b_deepseek_v3,"gemini_flash_lite,llama_70b,deepseek_v3",always_gemini_flash_lite,0.9197969543147207,knn_router,0.9197969543147207,0.0,0.9675126903553298
3model_gemini_flash_lite_llama_70b_granite_8b,"gemini_flash_lite,llama_70b,granite_8b",always_gemini_flash_lite,0.9197969543147207,knn_router,0.9197969543147207,0.0,0.965482233502538
2model_gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",always_gemini_flash_lite,0.9197969543147207,knn_router,0.9197969543147207,0.0,0.9563451776649746
3model_gemini_flash_lite_qwen_30b_granite_8b,"gemini_flash_lite,qwen_30b,granite_8b",always_gemini_flash_lite,0.9197969543147207,knn_router,0.9197969543147207,0.0,0.965482233502538
3model_gemini_flash_lite_qwen_30b_llama_70b,"gemini_flash_lite,qwen_30b,llama_70b",always_gemini_flash_lite,0.9197969543147207,knn_router,0.9197969543147207,0.0,0.9685279187817258
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",always_deepseek_v3,0.9076142131979696,knn_router,0.9076142131979696,0.0,0.9441624365482234
3model_llama_70b_deepseek_v3_granite_8b,"llama_70b,deepseek_v3,granite_8b",always_deepseek_v3,0.9076142131979696,decision_tree_router,0.9065989847715736,-0.0010152284263960087,0.9583756345177664
2model_qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",always_deepseek_v3,0.9076142131979696,decision_tree_router,0.900507614213198,-0.007106598984771617,0.9431472081218274
3model_qwen_30b_deepseek_v3_granite_8b,"qwen_30b,deepseek_v3,granite_8b",always_deepseek_v3,0.9076142131979696,decision_tree_router,0.900507614213198,-0.007106598984771617,0.9553299492385786
3model_qwen_30b_llama_70b_deepseek_v3,"qwen_30b,llama_70b,deepseek_v3",always_deepseek_v3,0.9076142131979696,extra_trees_router,0.899492385786802,-0.008121827411167626,0.9624365482233502
