group,models,policy,accuracy_mean,accuracy_std,avg_cost_mean,utility_mean,regret_mean,route_acc_mean
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",oracle,0.9287128712871286,0.021464835038295833,6.786449900990099e-05,0.9287128712871286,0.0,1.0
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",tfidf_logistic_router,0.8990099009900991,0.023638289873887778,6.560055445544554e-05,0.8990099009900991,0.02970297029702971,0.9227722772277227
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",logistic_router,0.8970297029702972,0.020531130052799752,6.42089306930693e-05,0.8970297029702972,0.031683168316831684,0.8930693069306932
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",extra_trees_router,0.8950495049504952,0.01930058286100788,6.669265742574257e-05,0.8950495049504952,0.03366336633663366,0.9168316831683168
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",tfidf_linear_svm_router,0.8950495049504952,0.028524475823540476,6.831684356435643e-05,0.8950495049504952,0.033663366336633666,0.9544554455445544
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",always_deepseek_v3,0.8930693069306932,0.030836458420589023,6.927199207920791e-05,0.8930693069306932,0.03564356435643564,0.9643564356435643
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",knn_router,0.8930693069306932,0.030836458420589023,6.919373465346534e-05,0.8930693069306932,0.03564356435643564,0.9623762376237623
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",linear_svm_router,0.8930693069306932,0.02146483503829587,6.417341386138613e-05,0.8930693069306932,0.03564356435643564,0.8752475247524754
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",random_forest_router,0.8930693069306932,0.030836458420589023,6.84305900990099e-05,0.8930693069306932,0.03564356435643564,0.9405940594059405
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",random,0.8871287128712873,0.01128886559504098,4.235982574257425e-05,0.8871287128712873,0.041584158415841586,0.5168316831683168
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",decision_tree_router,0.8772277227722773,0.024851287916853742,6.0913401980198014e-05,0.8772277227722773,0.05148514851485149,0.8336633663366337
2model_deepseek_v3_granite_8b,"deepseek_v3,granite_8b",always_granite_8b,0.8475247524752476,0.015015594938715954,1.6006138613861385e-05,0.8475247524752476,0.08118811881188119,0.03564356435643565
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",oracle,0.9227722772277227,0.022577731190081874,0.00018538336633663362,0.9227722772277227,0.0,1.0
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",logistic_router,0.8970297029702972,0.03542285904950167,0.00016887995247524752,0.8970297029702972,0.025742574257425745,0.801980198019802
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",extra_trees_router,0.8950495049504952,0.02279379095687396,0.0001712588,0.8950495049504952,0.027722772277227727,0.8178217821782179
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",always_deepseek_v3,0.8930693069306932,0.030836458420589023,6.927199207920791e-05,0.8930693069306932,0.0297029702970297,0.061386138613861385
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",tfidf_logistic_router,0.8811881188118813,0.034298035793443156,0.00017903213861386139,0.8811881188118813,0.041584158415841586,0.8613861386138615
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",random_forest_router,0.8772277227722773,0.03328264616628045,0.00018140615445544554,0.8772277227722773,0.04554455445544554,0.8653465346534654
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",decision_tree_router,0.8732673267326734,0.03386659678512294,0.00017081009108910888,0.8732673267326734,0.04950495049504951,0.7861386138613862
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",linear_svm_router,0.8732673267326734,0.03860116572201573,0.00017293125544554455,0.8732673267326734,0.04950495049504951,0.8138613861386139
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",knn_router,0.8653465346534654,0.031775854526497484,0.00019280043564356432,0.8653465346534654,0.057425742574257435,0.9425742574257425
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",always_gemini_flash,0.8613861386138615,0.033575891005570666,0.00019355108910891087,0.8613861386138615,0.061386138613861385,0.9386138613861386
2model_gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",random,0.8594059405940595,0.042815343188989406,0.00013380731485148514,0.8594059405940595,0.06336633663366337,0.49504950495049505
