group,models,seed,policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,always_mistral_nemo,0.72,9.60024e-06,0.72,0.216,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,always_qwen_235b,0.896,4.10186e-05,0.896,0.04,0.0,0.216
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,random,0.824,3.0105203999999992e-05,0.824,0.112,0.0,0.44
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,oracle,0.936,1.8239703999999995e-05,0.936,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,logistic_router,0.808,1.7130572e-05,0.808,0.128,0.0,0.728
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,random_forest_router,0.816,1.789216e-05,0.816,0.12,0.0,0.72
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,tfidf_logistic_router,0.784,1.6296784e-05,0.784,0.152,0.0,0.736
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,always_mistral_nemo,0.728,8.43176e-06,0.728,0.216,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,always_qwen_235b,0.92,4.760200399999999e-05,0.92,0.024,0.0,0.216
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,random,0.84,2.6250172e-05,0.84,0.104,0.0,0.592
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,oracle,0.944,1.9086468000000003e-05,0.944,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,logistic_router,0.856,2.2494032e-05,0.856,0.088,0.0,0.736
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,random_forest_router,0.824,2.1312488e-05,0.824,0.12,0.0,0.712
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,tfidf_logistic_router,0.848,2.0569480000000002e-05,0.848,0.096,0.0,0.752
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,always_mistral_nemo,0.688,8.764720000000002e-06,0.688,0.224,0.0,0.776
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,always_qwen_235b,0.888,4.208999199999999e-05,0.888,0.024,0.0,0.224
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,random,0.776,2.3642980000000002e-05,0.776,0.136,0.0,0.456
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,oracle,0.912,1.9591820000000002e-05,0.912,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,logistic_router,0.808,1.8798444000000003e-05,0.808,0.104,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,random_forest_router,0.832,1.8841180000000004e-05,0.832,0.08,0.0,0.816
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,tfidf_logistic_router,0.8,1.6498236e-05,0.8,0.112,0.0,0.824
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,always_mistral_nemo,0.728,8.343599999999998e-06,0.728,0.232,0.0,0.768
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,always_qwen_235b,0.936,4.7615416e-05,0.936,0.024,0.0,0.232
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,random,0.8,2.490084e-05,0.8,0.16,0.0,0.48
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,oracle,0.96,1.9344412000000007e-05,0.96,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,logistic_router,0.8,1.7846808000000005e-05,0.8,0.16,0.0,0.68
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,random_forest_router,0.8,2.1227016000000002e-05,0.8,0.16,0.0,0.712
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,tfidf_logistic_router,0.8,1.4804239999999997e-05,0.8,0.16,0.0,0.744
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,always_mistral_nemo,0.728,8.0912e-06,0.728,0.216,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,always_qwen_235b,0.912,4.258162399999999e-05,0.912,0.032,0.0,0.216
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,random,0.808,2.6958448e-05,0.808,0.136,0.0,0.496
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,oracle,0.944,1.8038904000000002e-05,0.944,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,logistic_router,0.84,2.1499492e-05,0.84,0.104,0.0,0.704
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,random_forest_router,0.832,1.8511856e-05,0.832,0.112,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,tfidf_logistic_router,0.84,1.86318e-05,0.84,0.104,0.0,0.784
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,always_mistral_nemo,0.72,9.60024e-06,0.72,0.184,0.0,0.816
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,always_gemini_flash,0.864,0.0001908728,0.864,0.04,0.0,0.184
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,random,0.824,0.00012051696,0.824,0.08,0.0,0.456
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,oracle,0.904,4.962448e-05,0.904,0.0,0.0,1.0
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,logistic_router,0.8,6.068808e-05,0.8,0.104,0.0,0.712
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,random_forest_router,0.784,5.443768e-05,0.784,0.12,0.0,0.736
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,tfidf_logistic_router,0.768,4.223952000000001e-05,0.768,0.136,0.0,0.744
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,always_mistral_nemo,0.728,8.43176e-06,0.728,0.176,0.0,0.824
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,always_gemini_flash,0.88,0.0001904848,0.88,0.024,0.0,0.176
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,random,0.84,8.522096e-05,0.84,0.064,0.0,0.6
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,oracle,0.904,4.583904e-05,0.904,0.0,0.0,1.0
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,logistic_router,0.824,8.225239999999999e-05,0.824,0.08,0.0,0.672
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,random_forest_router,0.768,6.619471999999999e-05,0.768,0.136,0.0,0.648
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,tfidf_logistic_router,0.816,6.901264e-05,0.816,0.088,0.0,0.728
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",231,always_mistral_nemo,0.688,8.764720000000002e-06,0.688,0.168,0.0,0.832
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",231,always_gemini_flash,0.808,0.0001890168,0.808,0.048,0.0,0.168
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",231,random,0.752,9.500992e-05,0.752,0.104,0.0,0.464
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",231,oracle,0.856,4.1741919999999996e-05,0.856,0.0,0.0,1.0
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",231,logistic_router,0.784,6.773568000000002e-05,0.784,0.072,0.0,0.744
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",231,random_forest_router,0.76,6.177743999999999e-05,0.76,0.096,0.0,0.768
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",231,tfidf_logistic_router,0.776,5.492903999999999e-05,0.776,0.08,0.0,0.776
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",232,always_mistral_nemo,0.728,8.343599999999998e-06,0.728,0.232,0.0,0.768
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",232,always_gemini_flash,0.928,0.00018889999999999996,0.928,0.032,0.0,0.232
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",232,random,0.8,8.979624e-05,0.8,0.16,0.0,0.496
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",232,oracle,0.96,5.923152e-05,0.96,0.0,0.0,1.0
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",232,logistic_router,0.792,6.532328000000003e-05,0.792,0.168,0.0,0.648
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",232,random_forest_router,0.808,5.22696e-05,0.808,0.152,0.0,0.736
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",232,tfidf_logistic_router,0.776,5.2542e-05,0.776,0.184,0.0,0.704
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",233,always_mistral_nemo,0.728,8.0912e-06,0.728,0.216,0.0,0.784
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",233,always_gemini_flash,0.896,0.0001853312,0.896,0.048,0.0,0.216
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",233,random,0.824,9.912472e-05,0.824,0.12,0.0,0.528
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",233,oracle,0.944,5.441784000000001e-05,0.944,0.0,0.0,1.0
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",233,logistic_router,0.808,7.10824e-05,0.808,0.136,0.0,0.656
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",233,random_forest_router,0.824,5.254872e-05,0.824,0.12,0.0,0.808
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",233,tfidf_logistic_router,0.8,5.6719359999999995e-05,0.8,0.144,0.0,0.728
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",229,always_mistral_nemo,0.72,9.60024e-06,0.72,0.192,0.0,0.808
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",229,always_llama_70b,0.888,4.769864000000001e-05,0.888,0.024,0.0,0.192
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",229,random,0.832,3.175676000000001e-05,0.832,0.08,0.0,0.464
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",229,oracle,0.912,1.9117679999999997e-05,0.912,0.0,0.0,1.0
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",229,logistic_router,0.784,1.576724e-05,0.784,0.128,0.0,0.784
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",229,random_forest_router,0.784,1.8823399999999997e-05,0.784,0.128,0.0,0.776
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",229,tfidf_logistic_router,0.784,1.509196e-05,0.784,0.128,0.0,0.816
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",230,always_mistral_nemo,0.728,8.43176e-06,0.728,0.208,0.0,0.792
2model_mistral_nemo_llama_70b,"mistral_nemo,llama_70b",230,always_llama_70b,0.904,5.2859176e-05,0.904,0.032,0.0,0.208
