group,models,policy,accuracy_mean,accuracy_std,avg_cost_mean,utility_mean,regret_mean,route_acc_mean
gemini_llama,"gemini_flash,llama_70b",oracle,0.9568,0.0200798406368178,0.00017387280160000002,0.9568,0.0,1.0
gemini_llama,"gemini_flash,llama_70b",random_forest_router,0.9119999999999999,0.03622154055254964,0.00016562364959999998,0.9119999999999999,0.0448,0.8464
gemini_llama,"gemini_flash,llama_70b",tfidf_logistic_router,0.8944000000000001,0.03639780213144748,0.00016887832159999996,0.8944000000000001,0.0624,0.8352
gemini_llama,"gemini_flash,llama_70b",always_llama_70b,0.8928,0.015594870951694362,5.0567603200000005e-05,0.8928,0.064,0.08159999999999999
gemini_llama,"gemini_flash,llama_70b",logistic_router,0.8896000000000001,0.0397592756473254,0.0001593321696,0.8896000000000001,0.06720000000000001,0.7696
gemini_llama,"gemini_flash,llama_70b",mlp_router,0.8880000000000001,0.037523326078587466,0.00017886998399999998,0.8880000000000001,0.0688,0.8912000000000001
gemini_llama,"gemini_flash,llama_70b",tfidf_mlp_router,0.8800000000000001,0.04418144406874908,0.00018718759999999997,0.8800000000000001,0.07680000000000001,0.9152000000000001
gemini_llama,"gemini_flash,llama_70b",always_gemini_flash,0.8752000000000001,0.044398198161637155,0.00018892112,0.8752000000000001,0.08159999999999999,0.9184000000000001
gemini_llama,"gemini_flash,llama_70b",random,0.8688,0.021614809737770097,0.00012021308000000001,0.8688,0.088,0.4784
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",oracle,0.9743999999999999,0.018242806801586225,0.00017137966560000002,0.9743999999999999,0.0,1.0
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",random_forest_router,0.9103999999999999,0.03683476618630826,0.0001665934672,0.9103999999999999,0.064,0.8272
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",random,0.8976000000000001,0.029610808837314824,0.00010240289439999998,0.8976000000000001,0.07680000000000001,0.3184
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",tfidf_logistic_router,0.8960000000000001,0.03346640106136305,0.0001680532128,0.8960000000000001,0.0784,0.8064
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",always_llama_70b,0.8928,0.015594870951694362,5.0567603200000005e-05,0.8928,0.08159999999999999,0.08159999999999999
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",logistic_router,0.8896000000000001,0.02961080883731482,0.00015518036959999998,0.8896000000000001,0.0848,0.7072
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",mlp_router,0.8896000000000001,0.03412916641232249,0.00017865485599999998,0.8896000000000001,0.0848,0.8720000000000001
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",always_deepseek_v3,0.8880000000000001,0.023323807579381222,6.9885504e-05,0.8880000000000001,0.0864,0.017599999999999998
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",tfidf_mlp_router,0.8784000000000001,0.047125364720074024,0.000187406256,0.8784000000000001,0.096,0.8960000000000001
gemini_llama_deepseek,"gemini_flash,llama_70b,deepseek_v3",always_gemini_flash,0.8752000000000001,0.044398198161637155,0.00018892112,0.8752000000000001,0.0992,0.9008
llama_deepseek,"llama_70b,deepseek_v3",oracle,0.96,0.019595917942265412,5.13263248e-05,0.96,0.0,1.0
llama_deepseek,"llama_70b,deepseek_v3",logistic_router,0.9103999999999999,0.020707486568871614,5.2562656e-05,0.9103999999999999,0.0496,0.7984
llama_deepseek,"llama_70b,deepseek_v3",tfidf_logistic_router,0.9072000000000001,0.023047776465420715,5.185130879999999e-05,0.9072000000000001,0.0528,0.8480000000000001
llama_deepseek,"llama_70b,deepseek_v3",mlp_router,0.9056000000000001,0.017343586710943073,5.10348928e-05,0.9056000000000001,0.054400000000000004,0.9248000000000001
llama_deepseek,"llama_70b,deepseek_v3",tfidf_mlp_router,0.9008,0.018417383093154154,5.0410273599999997e-05,0.9008,0.059199999999999996,0.9263999999999999
llama_deepseek,"llama_70b,deepseek_v3",random,0.8992000000000001,0.029175332046096777,6.0416718399999996e-05,0.8992000000000001,0.0608,0.5056
llama_deepseek,"llama_70b,deepseek_v3",always_llama_70b,0.8928,0.015594870951694362,5.0567603200000005e-05,0.8928,0.06720000000000001,0.9328
llama_deepseek,"llama_70b,deepseek_v3",always_deepseek_v3,0.8880000000000001,0.023323807579381222,6.9885504e-05,0.8880000000000001,0.072,0.06720000000000001
llama_deepseek,"llama_70b,deepseek_v3",random_forest_router,0.8864000000000001,0.013145341380123982,5.1158361600000004e-05,0.8864000000000001,0.0736,0.8368
