policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
always_mistral_nemo,0.74,8.9022e-06,0.74,0.2,0.0,0.8
always_qwen_235b,0.92,4.284439e-05,0.92,0.02,0.0,0.18
always_gemini_flash,0.88,0.00018552999999999997,0.88,0.06,0.0,0.02
always_llama_70b,0.92,5.22613e-05,0.92,0.02,0.0,0.0
always_deepseek_v3,0.88,7.295324e-05,0.88,0.06,0.0,0.0
random,0.9,8.874571000000001e-05,0.9,0.04,0.0,0.16
oracle,0.94,2.5561779999999995e-05,0.94,0.0,0.0,1.0
logistic_router,0.82,4.19471e-05,0.82,0.12,0.0,0.44
random_forest_router,0.8,2.178012e-05,0.8,0.14,0.0,0.72
mlp_router,0.78,1.8075000000000002e-05,0.78,0.16,0.0,0.78
tfidf_logistic_router,0.8,3.382078e-05,0.8,0.14,0.0,0.64
tfidf_mlp_router,0.8,2.1491e-05,0.8,0.14,0.0,0.8
always_mistral_nemo,0.74,8.9022e-06,0.7310978000000001,0.19493370000000002,1000.0,0.74
always_qwen_235b,0.92,4.284439e-05,0.87715561,0.048875890000000005,1000.0,0.18
always_gemini_flash,0.88,0.00018552999999999997,0.69447,0.2315615,1000.0,0.0
always_llama_70b,0.92,5.22613e-05,0.8677387,0.05829279999999999,1000.0,0.06
always_deepseek_v3,0.88,7.295324e-05,0.8070467600000002,0.11898473999999998,1000.0,0.02
random,0.9,8.874571000000001e-05,0.8112542899999999,0.11477720999999999,1000.0,0.16
oracle,0.94,1.39685e-05,0.9260315,0.0,1000.0,1.0
logistic_router,0.84,3.381516e-05,0.8061848399999999,0.11984666000000001,1000.0,0.48
random_forest_router,0.8,2.818568e-05,0.77181432,0.15421717999999998,1000.0,0.64
mlp_router,0.8,1.565212e-05,0.7843478800000001,0.14168361999999998,1000.0,0.72
tfidf_logistic_router,0.78,2.633688e-05,0.7536631200000001,0.17236838,1000.0,0.54
tfidf_mlp_router,0.8,1.1713e-05,0.7882870000000001,0.13774450000000002,1000.0,0.76
always_mistral_nemo,0.74,8.9022e-06,0.6954889999999999,0.1746685,5000.0,0.74
always_qwen_235b,0.92,4.284439e-05,0.7057780500000002,0.16437944999999998,5000.0,0.18
always_gemini_flash,0.88,0.00018552999999999997,-0.047650000000000005,0.9178075,5000.0,0.0
always_llama_70b,0.92,5.22613e-05,0.6586935000000002,0.21146399999999999,5000.0,0.06
always_deepseek_v3,0.88,7.295324e-05,0.5152338000000001,0.3549237,5000.0,0.02
random,0.9,8.874571000000001e-05,0.45627144999999997,0.4138860499999999,5000.0,0.16
oracle,0.94,1.39685e-05,0.8701574999999999,0.0,5000.0,1.0
logistic_router,0.84,3.381516e-05,0.6709242000000001,0.19923330000000003,5000.0,0.48
random_forest_router,0.8,2.818568e-05,0.6590716000000001,0.21108590000000002,5000.0,0.64
mlp_router,0.8,1.565212e-05,0.7217393999999999,0.1484181,5000.0,0.72
tfidf_logistic_router,0.78,2.633688e-05,0.6483156000000001,0.2218419,5000.0,0.54
tfidf_mlp_router,0.8,1.1713e-05,0.7414349999999998,0.1287225,5000.0,0.76
always_mistral_nemo,0.74,8.9022e-06,0.6509780000000001,0.149337,10000.0,0.74
always_qwen_235b,0.92,4.284439e-05,0.49155610000000005,0.3087589,10000.0,0.18
always_gemini_flash,0.88,0.00018552999999999997,-0.9753000000000001,1.775615,10000.0,0.0
always_llama_70b,0.92,5.22613e-05,0.39738699999999993,0.402928,10000.0,0.06
always_deepseek_v3,0.88,7.295324e-05,0.1504676,0.6498474000000001,10000.0,0.02
random,0.9,8.874571000000001e-05,0.012542899999999961,0.7877720999999999,10000.0,0.16
oracle,0.94,1.39685e-05,0.8003150000000001,0.0,10000.0,1.0
logistic_router,0.88,2.913724e-05,0.5886276,0.21168739999999997,10000.0,0.52
random_forest_router,0.82,2.120376e-05,0.6079624,0.1923526,10000.0,0.7
mlp_router,0.82,1.48446e-05,0.6715540000000001,0.128761,10000.0,0.72
tfidf_logistic_router,0.8,1.854916e-05,0.6145084000000001,0.18580659999999993,10000.0,0.62
tfidf_mlp_router,0.8,1.21338e-05,0.6786620000000001,0.121653,10000.0,0.74
always_mistral_nemo,0.74,8.9022e-06,0.561956,0.11325400000000001,20000.0,0.78
always_qwen_235b,0.92,4.284439e-05,0.06311220000000001,0.6120977999999999,20000.0,0.16
always_gemini_flash,0.88,0.00018552999999999997,-2.8306,3.5058099999999994,20000.0,0.0
always_llama_70b,0.92,5.22613e-05,-0.12522599999999998,0.8004359999999999,20000.0,0.04
always_deepseek_v3,0.88,7.295324e-05,-0.5790647999999999,1.2542748000000001,20000.0,0.02
random,0.9,8.874571000000001e-05,-0.8749142000000001,1.5501242,20000.0,0.16
oracle,0.9,1.1239500000000001e-05,0.67521,0.0,20000.0,1.0
logistic_router,0.84,2.4525440000000003e-05,0.3494912,0.3257188,20000.0,0.58
random_forest_router,0.78,1.2227159999999998e-05,0.5354568,0.1397532,20000.0,0.74
mlp_router,0.78,1.26872e-05,0.526256,0.148954,20000.0,0.76
tfidf_logistic_router,0.78,1.535976e-05,0.4728048,0.20240520000000004,20000.0,0.68
tfidf_mlp_router,0.8,1.1713e-05,0.56574,0.10946999999999997,20000.0,0.8
