policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
always_mistral_nemo,0.72,9.60024e-06,0.72,0.256,0.0,0.744
always_qwen_235b,0.896,4.10186e-05,0.896,0.08,0.0,0.216
always_gemini_flash,0.864,0.0001908728,0.864,0.112,0.0,0.024
always_llama_70b,0.888,4.769864000000001e-05,0.888,0.088,0.0,0.008
always_deepseek_v3,0.872,7.173344e-05,0.872,0.104,0.0,0.008
random,0.848,7.595171200000002e-05,0.848,0.128,0.0,0.176
oracle,0.976,2.5427144e-05,0.976,0.0,0.0,1.0
logistic_router,0.784,2.5619364e-05,0.784,0.192,0.0,0.616
random_forest_router,0.824,1.8755784e-05,0.824,0.152,0.0,0.704
tfidf_logistic_router,0.784,2.0724359999999998e-05,0.784,0.192,0.0,0.672
always_mistral_nemo,0.72,9.60024e-06,0.7103997600000002,0.245068904,1000.0,0.688
always_qwen_235b,0.896,4.10186e-05,0.8549813999999999,0.100487264,1000.0,0.168
always_gemini_flash,0.864,0.0001908728,0.6731271999999998,0.28234146400000004,1000.0,0.016
always_llama_70b,0.888,4.769864000000001e-05,0.8403013600000001,0.115167304,1000.0,0.112
always_deepseek_v3,0.872,7.173344e-05,0.80026656,0.15520210399999998,1000.0,0.016
random,0.848,7.595171200000002e-05,0.7720482879999998,0.183420376,1000.0,0.152
oracle,0.976,2.0531335999999996e-05,0.9554686640000001,0.0,1000.0,1.0
logistic_router,0.792,2.6639992e-05,0.7653600079999999,0.190108656,1000.0,0.536
random_forest_router,0.824,1.8896656e-05,0.805103344,0.15036531999999997,1000.0,0.632
tfidf_logistic_router,0.808,2.0474719999999997e-05,0.7875252800000001,0.167943384,1000.0,0.648
always_mistral_nemo,0.72,9.60024e-06,0.6719988000000001,0.20953092000000004,5000.0,0.704
always_qwen_235b,0.896,4.10186e-05,0.690907,0.19062272,5000.0,0.168
always_gemini_flash,0.864,0.0001908728,-0.09036399999999999,0.9718937200000002,5000.0,0.0
always_llama_70b,0.888,4.769864000000001e-05,0.6495068,0.23202292,5000.0,0.112
always_deepseek_v3,0.872,7.173344e-05,0.5133327999999999,0.3681969199999999,5000.0,0.016
random,0.848,7.595171200000002e-05,0.46824144,0.41328828,5000.0,0.144
oracle,0.96,1.5694056000000002e-05,0.88152972,0.0,5000.0,1.0
logistic_router,0.808,2.5402568e-05,0.6809871599999999,0.20054255999999998,5000.0,0.568
random_forest_router,0.816,1.787352e-05,0.7266324000000001,0.15489732,5000.0,0.656
tfidf_logistic_router,0.792,2.0271175999999994e-05,0.6906441200000001,0.19088560000000002,5000.0,0.64
always_mistral_nemo,0.72,9.60024e-06,0.6239976,0.17906184000000003,10000.0,0.704
always_qwen_235b,0.896,4.10186e-05,0.485814,0.31724543999999993,10000.0,0.168
always_gemini_flash,0.864,0.0001908728,-1.0447279999999999,1.8477874400000003,10000.0,0.0
always_llama_70b,0.888,4.769864000000001e-05,0.4110135999999999,0.3920458399999999,10000.0,0.112
always_deepseek_v3,0.872,7.173344e-05,0.15466560000000001,0.6483938399999999,10000.0,0.016
random,0.848,7.595171200000002e-05,0.08848288,0.71457656,10000.0,0.144
oracle,0.96,1.5694056000000002e-05,0.80305944,0.0,10000.0,1.0
logistic_router,0.808,2.3838407999999997e-05,0.5696159199999999,0.23344352000000002,10000.0,0.552
random_forest_router,0.816,1.8529528e-05,0.6307047200000002,0.17235472000000002,10000.0,0.632
tfidf_logistic_router,0.792,1.8343775999999996e-05,0.6085622399999999,0.1944972,10000.0,0.632
always_mistral_nemo,0.72,9.60024e-06,0.5279952000000001,0.12639087999999998,20000.0,0.744
always_qwen_235b,0.896,4.10186e-05,0.075628,0.57875808,20000.0,0.16
always_gemini_flash,0.864,0.0001908728,-2.953456,3.6078420799999997,20000.0,0.0
always_llama_70b,0.888,4.769864000000001e-05,-0.06597280000000001,0.72035888,20000.0,0.08
always_deepseek_v3,0.872,7.173344e-05,-0.5626688000000001,1.2170548799999996,20000.0,0.016
random,0.848,7.595171200000002e-05,-0.67103424,1.3254203199999999,20000.0,0.152
oracle,0.92,1.3280696000000002e-05,0.65438608,0.0,20000.0,1.0
logistic_router,0.8,2.2607687999999994e-05,0.34784624,0.30653983999999995,20000.0,0.568
random_forest_router,0.8,1.5938776e-05,0.48122448,0.1731616,20000.0,0.664
tfidf_logistic_router,0.792,1.7037312e-05,0.45125375999999995,0.20313232000000003,20000.0,0.656
