policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
always_mistral_nemo,0.72,1.0,0.72,0.256,0.0,0.744
always_qwen_235b,0.896,1.0,0.896,0.08,0.0,0.216
always_gemini_flash,0.864,1.0,0.864,0.112,0.0,0.024
always_llama_70b,0.888,1.0,0.888,0.088,0.0,0.008
always_deepseek_v3,0.872,1.0,0.872,0.104,0.0,0.008
random,0.848,1.0,0.848,0.128,0.0,0.176
oracle,0.976,1.0,0.976,0.0,0.0,1.0
logistic_router,0.784,1.0,0.784,0.192,0.0,0.616
random_forest_router,0.824,1.0,0.824,0.152,0.0,0.704
tfidf_logistic_router,0.784,1.0,0.784,0.192,0.0,0.672
always_mistral_nemo,0.72,1.0,0.7000000000000003,0.256,0.02,0.744
always_qwen_235b,0.896,1.0,0.8760000000000003,0.08,0.02,0.216
always_gemini_flash,0.864,1.0,0.8440000000000003,0.112,0.02,0.024
always_llama_70b,0.888,1.0,0.8680000000000003,0.088,0.02,0.008
always_deepseek_v3,0.872,1.0,0.8520000000000003,0.104,0.02,0.008
random,0.848,1.0,0.8280000000000003,0.128,0.02,0.176
oracle,0.976,1.0,0.9560000000000003,0.0,0.02,1.0
logistic_router,0.784,1.0,0.7640000000000003,0.192,0.02,0.616
random_forest_router,0.824,1.0,0.8040000000000004,0.152,0.02,0.704
tfidf_logistic_router,0.784,1.0,0.7640000000000003,0.192,0.02,0.672
always_mistral_nemo,0.72,1.0,0.6700000000000002,0.256,0.05,0.744
always_qwen_235b,0.896,1.0,0.8459999999999999,0.08,0.05,0.216
always_gemini_flash,0.864,1.0,0.8139999999999998,0.112,0.05,0.024
always_llama_70b,0.888,1.0,0.8379999999999999,0.088,0.05,0.008
always_deepseek_v3,0.872,1.0,0.8219999999999998,0.104,0.05,0.008
random,0.848,1.0,0.7979999999999999,0.128,0.05,0.176
oracle,0.976,1.0,0.9259999999999999,0.0,0.05,1.0
logistic_router,0.784,1.0,0.734,0.192,0.05,0.616
random_forest_router,0.824,1.0,0.774,0.152,0.05,0.704
tfidf_logistic_router,0.784,1.0,0.734,0.192,0.05,0.672
always_mistral_nemo,0.72,1.0,0.6200000000000004,0.256,0.1,0.744
always_qwen_235b,0.896,1.0,0.7960000000000005,0.08,0.1,0.216
always_gemini_flash,0.864,1.0,0.7640000000000005,0.112,0.1,0.024
always_llama_70b,0.888,1.0,0.7880000000000005,0.088,0.1,0.008
always_deepseek_v3,0.872,1.0,0.7720000000000005,0.104,0.1,0.008
random,0.848,1.0,0.7480000000000004,0.128,0.1,0.176
oracle,0.976,1.0,0.8760000000000004,0.0,0.1,1.0
logistic_router,0.784,1.0,0.6840000000000005,0.192,0.1,0.616
random_forest_router,0.824,1.0,0.7240000000000004,0.152,0.1,0.704
tfidf_logistic_router,0.784,1.0,0.6840000000000005,0.192,0.1,0.672
