policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
always_qwen_235b,0.896,4.10186e-05,0.896,0.064,0.0,0.936
always_llama_70b,0.888,4.769864000000001e-05,0.888,0.072,0.0,0.056
always_deepseek_v3,0.872,7.173344e-05,0.872,0.088,0.0,0.008
random,0.904,5.724446399999999e-05,0.904,0.056,0.0,0.264
oracle,0.96,4.1088024e-05,0.96,0.0,0.0,1.0
logistic_router,0.888,4.4641896e-05,0.888,0.072,0.0,0.752
random_forest_router,0.888,4.1279152000000005e-05,0.888,0.072,0.0,0.928
mlp_router,0.896,4.1687688000000005e-05,0.896,0.064,0.0,0.904
tfidf_logistic_router,0.888,4.4361744e-05,0.888,0.072,0.0,0.832
tfidf_mlp_router,0.896,4.1603520000000004e-05,0.896,0.064,0.0,0.92
