example_id,task_type,prompt_chars,prompt_words,num_numbers,has_math_symbols,has_code_like_text,question_mark_count,cheap_answer_chars,cheap_answer_words,cheap_contains_uncertainty,cheap_self_confidence,cheap_sample_agreement,cheap_direct_correct,cheap_direct_cost,medium_fewshot_correct,medium_fewshot_cost,strong_reasoning_correct,strong_reasoning_cost
math_001,math,65,14,2,0,0,1,2,1,0,0.92,1.0,1,1.0,1,3.0,1,8.0
math_002,math,57,12,3,0,0,1,5,2,0,0.61,0.6666666666666666,0,1.0,1,3.0,1,8.0
math_003,math,86,19,3,0,0,1,3,1,0,0.88,0.6666666666666666,1,1.0,1,3.0,1,8.0
math_004,math,83,16,3,0,0,1,2,1,0,0.57,0.6666666666666666,0,1.0,1,3.0,1,8.0
strategy_001,commonsense,75,14,0,0,0,1,3,1,0,0.95,1.0,1,1.0,1,3.0,1,8.0
strategy_002,commonsense,73,16,0,0,0,1,2,1,0,0.91,1.0,1,1.0,1,3.0,1,8.0
strategy_003,commonsense,80,16,0,0,0,1,17,3,1,0.45,0.6666666666666666,0,1.0,1,3.0,1,8.0
strategy_004,commonsense,77,17,0,0,0,1,3,1,0,0.52,0.6666666666666666,0,1.0,1,3.0,1,8.0
knowledge_001,knowledge,78,16,0,0,0,1,1,1,0,0.93,1.0,1,1.0,1,3.0,1,8.0
knowledge_002,knowledge,125,19,0,0,0,0,1,1,0,0.9,1.0,1,1.0,1,3.0,1,8.0
knowledge_003,knowledge,99,18,0,0,0,1,1,1,0,0.87,1.0,1,1.0,1,3.0,1,8.0
knowledge_004,knowledge,112,18,0,0,0,1,1,1,0,0.84,0.6666666666666666,1,1.0,1,3.0,1,8.0
math_005,math,89,19,3,0,0,1,1,1,0,0.49,0.6666666666666666,0,1.0,1,3.0,1,8.0
math_006,math,26,6,2,0,0,1,2,1,0,0.86,0.6666666666666666,1,1.0,1,3.0,1,8.0
strategy_005,commonsense,85,15,0,0,0,1,3,1,0,0.96,1.0,1,1.0,1,3.0,1,8.0
strategy_006,commonsense,59,13,0,0,0,1,2,1,0,0.5,0.6666666666666666,0,1.0,1,3.0,1,8.0
