policy,accuracy,avg_cost,utility,regret,route_acc
always_cheap_direct,0.5,1.0,0.44999999999999996,0.45,0.5
always_medium_fewshot,1.0,3.0,0.85,0.04999999999999999,0.5
always_strong_reasoning,1.0,8.0,0.6,0.3,0.0
random,1.0,5.5,0.725,0.175,0.25
oracle,1.0,2.0,0.8999999999999999,0.0,1.0
threshold_cheap_self_confidence_0.5,0.75,2.75,0.6125,0.2875,0.5
threshold_cheap_self_confidence_0.7,1.0,4.5,0.7749999999999999,0.125,0.5
threshold_cheap_self_confidence_0.9,1.0,6.25,0.6875,0.2125,0.25
logistic_router,1.0,2.0,0.8999999999999999,0.0,1.0
random_forest_router,1.0,2.0,0.8999999999999999,0.0,1.0
