pair,cheap_model,cheap_cost_per1k,expensive_model,expensive_cost_per1k,router_cost_per1k,pct_to_expensive,gain_pp
gemini_flash_llama_70b,llama_70b,0.05354493147208122,gemini_flash,0.1896469712351,0.16228067918779998,0.7989281270512165,1.50592216582065
gemini_flash_granite_8b,granite_8b,0.015969788494077833,gemini_flash,0.1896469712351,0.16886443316410002,0.8803381207421487,0.8121827411167515
gemini_flash_qwen_30b,qwen_30b,0.02531397394247039,gemini_flash,0.1896469712351,0.1538514090016,0.7821766606632359,0.5245346869712231
gemini_flash_deepseek_v3,deepseek_v3,0.07057821015228426,gemini_flash,0.1896469712351,0.1659275972927,0.800792636736159,0.37225042301183286
llama_70b_granite_8b,granite_8b,0.015969788494077833,llama_70b,0.05354493147208122,0.049045389170896785,0.8802521575548368,0.16920473773266442
deepseek_v3_granite_8b,granite_8b,0.015969788494077833,deepseek_v3,0.07057821015228426,0.06954360507614214,0.9810541113490204,0.1522842639593791
qwen_30b_llama_70b,qwen_30b,0.02531397394247039,llama_70b,0.05354493147208122,0.03204841654822335,0.238548146965591,0.08460236886632666
llama_70b_deepseek_v3,llama_70b,0.05354493147208122,deepseek_v3,0.07057821015228426,0.055722357191201353,0.12783362263959508,0.03384094754651512
gemini_flash_lite_gemini_flash,gemini_flash_lite,0.122125,gemini_flash,0.1896469712351,0.122125,0.0,0.0
gemini_flash_lite_qwen_30b,qwen_30b,0.02531397394247039,gemini_flash_lite,0.122125,0.122125,1.0,0.0
gemini_flash_lite_llama_70b,llama_70b,0.05354493147208122,gemini_flash_lite,0.122125,0.122125,1.0,0.0
gemini_flash_lite_deepseek_v3,deepseek_v3,0.07057821015228426,gemini_flash_lite,0.122125,0.122125,1.0,0.0
gemini_flash_lite_granite_8b,granite_8b,0.015969788494077833,gemini_flash_lite,0.122125,0.122125,1.0,0.0
qwen_30b_granite_8b,granite_8b,0.015969788494077833,qwen_30b,0.02531397394247039,0.02531397394247039,1.0,0.0
qwen_30b_deepseek_v3,qwen_30b,0.02531397394247039,deepseek_v3,0.07057821015228426,0.0370095434856176,0.258384334354712,-0.3045685279188026
