pair,models,best_fixed,fixed_acc,fixed_cost_usd,cheapest_fixed,cheapest_acc,cheapest_cost_usd,best_learned,router_acc,router_cost_usd,gain_pp,cost_premium_vs_best_fixed_pct,cost_premium_vs_cheapest_pct,oracle_acc,oracle_cost_usd
gemini_flash_llama_70b,"gemini_flash,llama_70b",llama_70b,0.8950930626057529,5.354493147208122e-05,llama_70b,0.8950930626057529,5.354493147208122e-05,extra_trees,0.9106598984771572,0.0001622112840947,1.5566835871404283,202.9442369895988,202.9442369895988,0.9458544839255498,0.000179618702538
gemini_flash_granite_8b,"gemini_flash,granite_8b",gemini_flash,0.8769881556683587,0.0001896469712351,granite_8b,0.8463620981387479,1.5969788494077833e-05,random_forest,0.8849407783417935,0.0001655456768189,0.7952622673434773,-12.708504786149359,936.6178417471856,0.9253807106598984,0.0001795940439932
gemini_flash_qwen_30b,"gemini_flash,qwen_30b",qwen_30b,0.8998307952622674,2.531397394247039e-05,qwen_30b,0.8998307952622674,2.531397394247039e-05,extra_trees,0.9055837563451776,0.000153700265516,0.5752961082910235,507.17556976753525,507.17556976753525,0.9414551607445008,0.0001782232110321
gemini_flash_deepseek_v3,"gemini_flash,deepseek_v3",deepseek_v3,0.9071065989847716,7.057821015228426e-05,deepseek_v3,0.9071065989847716,7.057821015228426e-05,extra_trees,0.9109983079526228,0.000165792336379,0.3891708967851182,134.90583853185763,134.90583853185763,0.9455160744500846,0.0001801375133671
deepseek_v3_granite_8b,"deepseek_v3,granite_8b",deepseek_v3,0.9071065989847716,7.057821015228426e-05,granite_8b,0.8463620981387479,1.5969788494077833e-05,random_forest,0.9091370558375634,6.833530118443316e-05,0.20304568527917954,-3.1779057063244416,327.9036081772425,0.942808798646362,6.848815059221659e-05
llama_70b_granite_8b,"llama_70b,granite_8b",llama_70b,0.8950930626057529,5.354493147208122e-05,granite_8b,0.8463620981387479,1.5969788494077833e-05,linear_svm,0.8962774957698816,4.8266786125211505e-05,0.11844331641286399,-9.857413581006789,202.2381050513634,0.9431472081218274,5.169643485617597e-05
llama_70b_deepseek_v3,"llama_70b,deepseek_v3",deepseek_v3,0.9071065989847716,7.057821015228426e-05,llama_70b,0.8950930626057529,5.354493147208122e-05,linear_svm,0.9079526226734348,5.612434247038917e-05,0.08460236886631556,-20.47922106654229,4.817283218772783,0.9500846023688664,5.4382156345177665e-05
gemini_flash_lite_gemini_flash,"gemini_flash_lite,gemini_flash",gemini_flash_lite,0.9292724196277496,0.000122125,gemini_flash_lite,0.9292724196277496,0.000122125,knn,0.9292724196277496,0.0001222053807106,0.0,0.06581839148413011,0.06581839148413011,0.94585448392555,0.0001240887986463
gemini_flash_lite_llama_70b,"gemini_flash_lite,llama_70b",gemini_flash_lite,0.9292724196277496,0.000122125,llama_70b,0.8950930626057529,5.354493147208122e-05,knn,0.9292724196277496,0.0001220541116751,0.0,-0.05804571127942582,127.94708727704705,0.95668358714044,0.0001201544351945
gemini_flash_lite_granite_8b,"gemini_flash_lite,granite_8b",gemini_flash_lite,0.9292724196277496,0.000122125,granite_8b,0.8463620981387479,1.5969788494077833e-05,knn,0.9292724196277496,0.0001218744585448,0.0,-0.20515165215967615,663.1563723589413,0.9592216582064298,0.0001182042893401
qwen_30b_llama_70b,"qwen_30b,llama_70b",qwen_30b,0.8998307952622674,2.531397394247039e-05,qwen_30b,0.8998307952622674,2.531397394247039e-05,knn,0.8998307952622674,2.549018003384095e-05,0.0,0.6960822973548603,0.6960822973548603,0.9461928934010152,2.657792551607445e-05
qwen_30b_granite_8b,"qwen_30b,granite_8b",qwen_30b,0.8998307952622674,2.531397394247039e-05,granite_8b,0.8463620981387479,1.5969788494077833e-05,knn,0.8998307952622674,2.531397394247039e-05,0.0,0.0,58.511641853351506,0.93248730964467,2.4948643519458545e-05
gemini_flash_lite_qwen_30b,"gemini_flash_lite,qwen_30b",gemini_flash_lite,0.9292724196277496,0.000122125,qwen_30b,0.8998307952622674,2.531397394247039e-05,knn,0.9291032148900168,0.000121819803384,-0.016920473773285316,-0.2499051103377705,381.2353985227797,0.9568527918781726,0.0001186818833164
gemini_flash_lite_deepseek_v3,"gemini_flash_lite,deepseek_v3",gemini_flash_lite,0.9292724196277496,0.000122125,deepseek_v3,0.9071065989847716,7.057821015228426e-05,knn,0.9291032148900168,0.0001219362470389,-0.016920473773285316,-0.1545571841146342,72.76755357751664,0.9570219966159051,0.0001199660592216
qwen_30b_deepseek_v3,"qwen_30b,deepseek_v3",deepseek_v3,0.9071065989847716,7.057821015228426e-05,qwen_30b,0.8998307952622674,2.531397394247039e-05,decision_tree,0.905922165820643,4.399199932318105e-05,-0.11844331641286399,-37.669148554120355,73.78543338615711,0.9445008460236888,2.7183646565143826e-05
