n_seeds,mean_delta_pp,se_pp,ci95_lo_pp,ci95_hi_pp,t_stat,p_one_sided,n_pos_seeds,n_neg_seeds,pair,p_holm15
30,1.7089678510998316,0.2315119649244492,1.269035532994924,2.148900169204738,7.381769022856034,1.961008122552954e-08,27,3,gemini_flash+llama_70b,2.941512183829431e-07
30,0.8291032148900171,0.17799113757209759,0.5076142131979696,1.2013536379018608,4.658115152245591,3.2773316323675417e-05,17,0,llama_70b+granite_8b,0.0004260531122077804
30,0.6768189509306258,0.24499956304588508,0.15228426395939096,1.0829103214890017,2.7625312572654135,0.004926401253765644,24,5,gemini_flash+qwen_30b,0.03448480877635951
30,0.6768189509306247,0.12005768035567584,0.4399323181049072,0.8967851099830781,5.63744817429023,2.162311539710693e-06,20,1,gemini_flash+granite_8b,3.02723615559497e-05
30,0.49069373942470423,0.2853738484163871,-0.08460236886632704,1.032148900169203,1.7194768972268835,0.048092699049377186,19,6,gemini_flash+deepseek_v3,0.19209403389651314
30,0.4060913705583754,0.09235712206037389,0.23688663282571948,0.592216582064297,4.396968652757644,6.746641385302343e-05,16,0,deepseek_v3+granite_8b,0.0008095969662362812
30,0.32148900169204797,0.1509821086833299,0.03384094754653176,0.6091370558375642,2.129318529828852,0.020921575504897483,14,4,qwen_30b+llama_70b,0.10460787752448741
30,0.2876480541455169,0.0866773945978079,0.13536379018612563,0.4568527918781739,3.3186052197373224,0.001223226885309514,10,0,qwen_30b+granite_8b,0.013455495738404655
30,0.27072758037225053,0.09019389163400264,0.10152284263959312,0.4399323181049075,3.001617686825563,0.0027385184696445686,15,1,gemini_flash_lite+deepseek_v3,0.02190814775715655
30,0.2368866328257191,0.07593114410407818,0.10152284263959385,0.38917089678511074,3.119755873835123,0.0020348515184225313,9,0,gemini_flash_lite+qwen_30b,0.020348515184225313
30,0.15228426395939096,0.049580761614252636,0.06768189509306244,0.25380710659898514,3.071438578216896,0.0022988337341860454,8,0,gemini_flash_lite+gemini_flash,0.02068950360767441
30,0.10152284263959421,0.03770463719331014,0.03384094754653141,0.16920473773265704,2.6925824035672523,0.00582739683775213,6,0,gemini_flash_lite+llama_70b,0.03496438102651278
30,0.08460236886632815,0.04918091023487129,0.0,0.18612521150592198,1.720227796970329,0.048023508474128285,3,0,gemini_flash_lite+granite_8b,0.19209403389651314
30,0.03384094754653141,0.18841842175397722,-0.3384094754653126,0.3891708967851104,0.1796053020267753,0.4293557564164745,13,12,llama_70b+deepseek_v3,0.858711512832949
30,-0.06768189509306206,0.17163779617634675,-0.3891708967851093,0.27072758037225014,-0.3943297840035378,0.6518887193755933,11,12,qwen_30b+deepseek_v3,0.858711512832949
