task_type,model_picked,share_or_acc_mean,share_or_acc_std,fixed_acc_mean,n
commonsense,gemini_flash,0.9273504273504274,0.05262750196701258,0.8401709401709402,39.0
commonsense,llama_70b,0.07264957264957264,0.052627501967012595,0.770940170940171,39.0
commonsense,router_total_acc,0.8444444444444444,0.047103566588149536,,39.0
humanities,gemini_flash,0.9709401709401709,0.02914465523876593,0.8786324786324786,39.0
humanities,llama_70b,0.02905982905982906,0.029144655238765922,0.8794871794871795,39.0
humanities,router_total_acc,0.8692307692307693,0.04382057774951616,,39.0
math,gemini_flash,0.04666666666666666,0.03293666587299425,0.7529273504273505,39.4
math,llama_70b,0.9533333333333334,0.032936665872994195,0.9289102564102565,39.4
math,router_total_acc,0.9272008547008548,0.028124978221031487,,39.4
science,gemini_flash,0.9966666666666666,0.00864364759104399,0.9541666666666667,40.0
science,llama_70b,0.0033333333333333335,0.008643647591044011,0.9691666666666666,40.0
science,router_total_acc,0.9533333333333333,0.026856365499003967,,40.0
social_science,gemini_flash,1.0,0.0,0.9571794871794872,39.6
social_science,llama_70b,0.0,0.0,0.9242307692307693,39.6
social_science,router_total_acc,0.9571794871794872,0.030188297202576903,,39.6
