policy,accuracy,avg_cost,utility,regret,route_acc,group,models,seed
always_llama_70b,0.9137055837563451,5.237700000000001e-05,0.9137055837563451,0.050761421319796954,0.949238578680203,llama_deepseek,"llama_70b,deepseek_v3",200
always_deepseek_v3,0.934010152284264,7.164896446700507e-05,0.934010152284264,0.030456852791878174,0.050761421319796954,llama_deepseek,"llama_70b,deepseek_v3",200
oracle,0.9644670050761421,5.362265989847716e-05,0.9644670050761421,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",200
random,0.934010152284264,6.23910507614213e-05,0.934010152284264,0.030456852791878174,0.5025380710659898,llama_deepseek,"llama_70b,deepseek_v3",200
correctness_logistic,0.9137055837563451,6.271433502538071e-05,0.9137055837563451,0.050761421319796954,0.467005076142132,llama_deepseek,"llama_70b,deepseek_v3",200
correctness_random_forest,0.9187817258883249,6.040079187817259e-05,0.9187817258883249,0.04568527918781726,0.5989847715736041,llama_deepseek,"llama_70b,deepseek_v3",200
correctness_extra_trees,0.9238578680203046,5.9578766497461935e-05,0.9238578680203046,0.04060913705583756,0.5583756345177665,llama_deepseek,"llama_70b,deepseek_v3",200
correctness_tfidf_logistic,0.9187817258883249,6.322544162436549e-05,0.9187817258883249,0.04568527918781726,0.4517766497461929,llama_deepseek,"llama_70b,deepseek_v3",200
always_llama_70b,0.8934010152284264,5.476117766497462e-05,0.8934010152284264,0.05583756345177665,0.9441624365482234,llama_deepseek,"llama_70b,deepseek_v3",201
always_deepseek_v3,0.9035532994923858,6.978987817258884e-05,0.9035532994923858,0.04568527918781726,0.05583756345177665,llama_deepseek,"llama_70b,deepseek_v3",201
oracle,0.949238578680203,5.452187309644669e-05,0.949238578680203,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",201
random,0.9035532994923858,6.456769543147209e-05,0.9035532994923858,0.04568527918781726,0.4873096446700508,llama_deepseek,"llama_70b,deepseek_v3",201
correctness_logistic,0.8984771573604061,6.275840609137056e-05,0.8984771573604061,0.050761421319796954,0.38071065989847713,llama_deepseek,"llama_70b,deepseek_v3",201
correctness_random_forest,0.9137055837563451,6.268652791878173e-05,0.9137055837563451,0.03553299492385787,0.4873096446700508,llama_deepseek,"llama_70b,deepseek_v3",201
correctness_extra_trees,0.9035532994923858,6.311288324873096e-05,0.9035532994923858,0.04568527918781726,0.4720812182741117,llama_deepseek,"llama_70b,deepseek_v3",201
correctness_tfidf_logistic,0.9035532994923858,6.281877157360406e-05,0.9035532994923858,0.04568527918781726,0.39086294416243655,llama_deepseek,"llama_70b,deepseek_v3",201
always_llama_70b,0.9137055837563451,5.804110152284263e-05,0.9137055837563451,0.04060913705583756,0.9593908629441624,llama_deepseek,"llama_70b,deepseek_v3",202
always_deepseek_v3,0.9035532994923858,7.044606091370558e-05,0.9035532994923858,0.050761421319796954,0.04060913705583756,llama_deepseek,"llama_70b,deepseek_v3",202
oracle,0.9543147208121827,5.739886802030456e-05,0.9543147208121827,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",202
random,0.9187817258883249,6.395784263959391e-05,0.9187817258883249,0.03553299492385787,0.5736040609137056,llama_deepseek,"llama_70b,deepseek_v3",202
correctness_logistic,0.934010152284264,6.459755837563451e-05,0.934010152284264,0.02030456852791878,0.5431472081218274,llama_deepseek,"llama_70b,deepseek_v3",202
correctness_random_forest,0.9137055837563451,7.086885279187818e-05,0.9137055837563451,0.04060913705583756,0.3401015228426396,llama_deepseek,"llama_70b,deepseek_v3",202
correctness_extra_trees,0.9187817258883249,6.955932487309646e-05,0.9187817258883249,0.03553299492385787,0.47715736040609136,llama_deepseek,"llama_70b,deepseek_v3",202
correctness_tfidf_logistic,0.934010152284264,6.626550253807106e-05,0.934010152284264,0.02030456852791878,0.4873096446700508,llama_deepseek,"llama_70b,deepseek_v3",202
always_llama_70b,0.8527918781725888,5.2808309644670046e-05,0.8527918781725888,0.07614213197969544,0.9238578680203046,llama_deepseek,"llama_70b,deepseek_v3",203
always_deepseek_v3,0.8984771573604061,6.77893807106599e-05,0.8984771573604061,0.030456852791878174,0.07614213197969544,llama_deepseek,"llama_70b,deepseek_v3",203
oracle,0.9289340101522843,5.30706345177665e-05,0.9289340101522843,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",203
random,0.8730964467005076,5.8402654822335035e-05,0.8730964467005076,0.05583756345177665,0.5177664974619289,llama_deepseek,"llama_70b,deepseek_v3",203
correctness_logistic,0.9035532994923858,6.07302538071066e-05,0.9035532994923858,0.025380710659898477,0.5431472081218274,llama_deepseek,"llama_70b,deepseek_v3",203
correctness_random_forest,0.883248730964467,5.824043654822335e-05,0.883248730964467,0.04568527918781726,0.5736040609137056,llama_deepseek,"llama_70b,deepseek_v3",203
correctness_extra_trees,0.8984771573604061,6.056649746192894e-05,0.8984771573604061,0.030456852791878174,0.5685279187817259,llama_deepseek,"llama_70b,deepseek_v3",203
correctness_tfidf_logistic,0.8934010152284264,6.294556852791878e-05,0.8934010152284264,0.03553299492385787,0.47715736040609136,llama_deepseek,"llama_70b,deepseek_v3",203
always_llama_70b,0.8527918781725888,5.5726903553299483e-05,0.8527918781725888,0.07614213197969544,0.9238578680203046,llama_deepseek,"llama_70b,deepseek_v3",204
always_deepseek_v3,0.8883248730964467,7.45758883248731e-05,0.8883248730964467,0.04060913705583756,0.07614213197969544,llama_deepseek,"llama_70b,deepseek_v3",204
oracle,0.9289340101522843,5.581444162436548e-05,0.9289340101522843,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",204
random,0.8781725888324873,6.672090862944162e-05,0.8781725888324873,0.050761421319796954,0.47715736040609136,llama_deepseek,"llama_70b,deepseek_v3",204
correctness_logistic,0.8934010152284264,6.520090862944162e-05,0.8934010152284264,0.03553299492385787,0.5329949238578681,llama_deepseek,"llama_70b,deepseek_v3",204
correctness_random_forest,0.883248730964467,6.332662436548223e-05,0.883248730964467,0.04568527918781726,0.48223350253807107,llama_deepseek,"llama_70b,deepseek_v3",204
correctness_extra_trees,0.8934010152284264,6.624226395939086e-05,0.8934010152284264,0.03553299492385787,0.5076142131979695,llama_deepseek,"llama_70b,deepseek_v3",204
correctness_tfidf_logistic,0.8934010152284264,6.642749238578681e-05,0.8934010152284264,0.03553299492385787,0.4619289340101523,llama_deepseek,"llama_70b,deepseek_v3",204
always_llama_70b,0.8934010152284264,5.789965482233503e-05,0.8934010152284264,0.06598984771573604,0.934010152284264,llama_deepseek,"llama_70b,deepseek_v3",205
always_deepseek_v3,0.8883248730964467,6.943462944162438e-05,0.8883248730964467,0.07106598984771574,0.06598984771573604,llama_deepseek,"llama_70b,deepseek_v3",205
oracle,0.9593908629441624,5.952385279187817e-05,0.9593908629441624,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",205
random,0.8730964467005076,6.604383756345177e-05,0.8730964467005076,0.08629441624365482,0.47715736040609136,llama_deepseek,"llama_70b,deepseek_v3",205
correctness_logistic,0.8934010152284264,6.374191370558377e-05,0.8934010152284264,0.06598984771573604,0.5126903553299492,llama_deepseek,"llama_70b,deepseek_v3",205
correctness_random_forest,0.9035532994923858,6.237804060913706e-05,0.9035532994923858,0.05583756345177665,0.45685279187817257,llama_deepseek,"llama_70b,deepseek_v3",205
correctness_extra_trees,0.9187817258883249,6.332047208121827e-05,0.9187817258883249,0.04060913705583756,0.5634517766497462,llama_deepseek,"llama_70b,deepseek_v3",205
correctness_tfidf_logistic,0.9086294416243654,6.169117258883248e-05,0.9086294416243654,0.050761421319796954,0.5076142131979695,llama_deepseek,"llama_70b,deepseek_v3",205
always_llama_70b,0.8984771573604061,5.47858426395939e-05,0.8984771573604061,0.04568527918781726,0.9543147208121827,llama_deepseek,"llama_70b,deepseek_v3",206
always_deepseek_v3,0.868020304568528,6.702823350253807e-05,0.868020304568528,0.07614213197969544,0.04568527918781726,llama_deepseek,"llama_70b,deepseek_v3",206
oracle,0.9441624365482234,5.4774634517766496e-05,0.9441624365482234,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",206
random,0.8883248730964467,6.30157461928934e-05,0.8883248730964467,0.05583756345177665,0.43147208121827413,llama_deepseek,"llama_70b,deepseek_v3",206
