group,models,seed,policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,always_mistral_nemo,0.72,9.60024e-06,0.72,0.216,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,always_qwen_235b,0.896,4.10186e-05,0.896,0.04,0.0,0.216
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,random,0.824,3.0105203999999992e-05,0.824,0.112,0.0,0.44
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,oracle,0.936,1.8239703999999995e-05,0.936,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,logistic_router,0.808,1.7130572e-05,0.808,0.128,0.0,0.728
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,linear_svm_router,0.776,1.5936716e-05,0.776,0.16,0.0,0.744
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,knn_router,0.752,1.0496992e-05,0.752,0.184,0.0,0.808
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,decision_tree_router,0.824,1.9371687999999997e-05,0.824,0.112,0.0,0.752
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,random_forest_router,0.816,1.789216e-05,0.816,0.12,0.0,0.72
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,extra_trees_router,0.792,1.6113564000000003e-05,0.792,0.144,0.0,0.736
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,tfidf_logistic_router,0.784,1.6296784e-05,0.784,0.152,0.0,0.736
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",229,tfidf_linear_svm_router,0.784,1.358668e-05,0.784,0.152,0.0,0.808
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,always_mistral_nemo,0.728,8.43176e-06,0.728,0.216,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,always_qwen_235b,0.92,4.760200399999999e-05,0.92,0.024,0.0,0.216
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,random,0.84,2.6250172e-05,0.84,0.104,0.0,0.592
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,oracle,0.944,1.9086468000000003e-05,0.944,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,logistic_router,0.856,2.2494032e-05,0.856,0.088,0.0,0.736
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,linear_svm_router,0.832,2.1622080000000003e-05,0.832,0.112,0.0,0.736
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,knn_router,0.768,1.1778408e-05,0.768,0.176,0.0,0.8
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,decision_tree_router,0.8,1.9311968000000003e-05,0.8,0.144,0.0,0.72
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,random_forest_router,0.824,2.1312488e-05,0.824,0.12,0.0,0.712
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,extra_trees_router,0.824,2.4847640000000002e-05,0.824,0.12,0.0,0.672
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,tfidf_logistic_router,0.848,2.0569480000000002e-05,0.848,0.096,0.0,0.752
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",230,tfidf_linear_svm_router,0.816,1.622474e-05,0.816,0.128,0.0,0.776
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,always_mistral_nemo,0.688,8.764720000000002e-06,0.688,0.224,0.0,0.776
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,always_qwen_235b,0.888,4.208999199999999e-05,0.888,0.024,0.0,0.224
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,random,0.776,2.3642980000000002e-05,0.776,0.136,0.0,0.456
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,oracle,0.912,1.9591820000000002e-05,0.912,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,logistic_router,0.808,1.8798444000000003e-05,0.808,0.104,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,linear_svm_router,0.792,1.810146e-05,0.792,0.12,0.0,0.8
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,knn_router,0.752,1.3074947999999999e-05,0.752,0.16,0.0,0.832
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,decision_tree_router,0.824,1.8182452000000003e-05,0.824,0.088,0.0,0.744
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,random_forest_router,0.832,1.8841180000000004e-05,0.832,0.08,0.0,0.816
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,extra_trees_router,0.816,1.896478e-05,0.816,0.096,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,tfidf_logistic_router,0.8,1.6498236e-05,0.8,0.112,0.0,0.824
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",231,tfidf_linear_svm_router,0.776,1.4645748e-05,0.776,0.136,0.0,0.824
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,always_mistral_nemo,0.728,8.343599999999998e-06,0.728,0.232,0.0,0.768
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,always_qwen_235b,0.936,4.7615416e-05,0.936,0.024,0.0,0.232
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,random,0.8,2.490084e-05,0.8,0.16,0.0,0.48
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,oracle,0.96,1.9344412000000007e-05,0.96,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,logistic_router,0.8,1.7846808000000005e-05,0.8,0.16,0.0,0.68
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,linear_svm_router,0.8,1.7226976000000004e-05,0.8,0.16,0.0,0.704
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,knn_router,0.768,1.2079827999999999e-05,0.768,0.192,0.0,0.8
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,decision_tree_router,0.816,2.2558012000000003e-05,0.816,0.144,0.0,0.672
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,random_forest_router,0.8,2.1227016000000002e-05,0.8,0.16,0.0,0.712
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,extra_trees_router,0.792,1.8316944e-05,0.792,0.168,0.0,0.72
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,tfidf_logistic_router,0.8,1.4804239999999997e-05,0.8,0.16,0.0,0.744
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",232,tfidf_linear_svm_router,0.792,1.5105339999999999e-05,0.792,0.168,0.0,0.752
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,always_mistral_nemo,0.728,8.0912e-06,0.728,0.216,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,always_qwen_235b,0.912,4.258162399999999e-05,0.912,0.032,0.0,0.216
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,random,0.808,2.6958448e-05,0.808,0.136,0.0,0.496
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,oracle,0.944,1.8038904000000002e-05,0.944,0.0,0.0,1.0
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,logistic_router,0.84,2.1499492e-05,0.84,0.104,0.0,0.704
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,linear_svm_router,0.84,2.0579772e-05,0.84,0.104,0.0,0.752
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,knn_router,0.776,1.085448e-05,0.776,0.168,0.0,0.832
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,decision_tree_router,0.856,2.0670224e-05,0.856,0.088,0.0,0.792
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,random_forest_router,0.832,1.8511856e-05,0.832,0.112,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,extra_trees_router,0.832,1.8609015999999998e-05,0.832,0.112,0.0,0.792
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,tfidf_logistic_router,0.84,1.86318e-05,0.84,0.104,0.0,0.784
2model_mistral_nemo_qwen_235b,"mistral_nemo,qwen_235b",233,tfidf_linear_svm_router,0.816,1.4718632e-05,0.816,0.128,0.0,0.824
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,always_mistral_nemo,0.72,9.60024e-06,0.72,0.184,0.0,0.816
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,always_gemini_flash,0.864,0.0001908728,0.864,0.04,0.0,0.184
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,random,0.824,0.00012051696,0.824,0.08,0.0,0.456
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,oracle,0.904,4.962448e-05,0.904,0.0,0.0,1.0
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,logistic_router,0.8,6.068808e-05,0.8,0.104,0.0,0.712
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,linear_svm_router,0.768,4.9992e-05,0.768,0.136,0.0,0.712
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,knn_router,0.736,1.9598640000000002e-05,0.736,0.168,0.0,0.808
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,decision_tree_router,0.824,8.901391999999998e-05,0.824,0.08,0.0,0.624
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,random_forest_router,0.784,5.443768e-05,0.784,0.12,0.0,0.736
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,extra_trees_router,0.792,5.9890320000000006e-05,0.792,0.112,0.0,0.736
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,tfidf_logistic_router,0.768,4.223952000000001e-05,0.768,0.136,0.0,0.744
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",229,tfidf_linear_svm_router,0.744,2.725376e-05,0.744,0.16,0.0,0.784
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,always_mistral_nemo,0.728,8.43176e-06,0.728,0.176,0.0,0.824
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,always_gemini_flash,0.88,0.0001904848,0.88,0.024,0.0,0.176
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,random,0.84,8.522096e-05,0.84,0.064,0.0,0.6
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,oracle,0.904,4.583904e-05,0.904,0.0,0.0,1.0
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,logistic_router,0.824,8.225239999999999e-05,0.824,0.08,0.0,0.672
2model_mistral_nemo_gemini_flash,"mistral_nemo,gemini_flash",230,linear_svm_router,0.8,6.78272e-05,0.8,0.104,0.0,0.68
