group,models,seed,policy,accuracy,avg_cost,utility,regret,cost_weight,route_acc
gemini_llama,"gemini_flash,llama_70b",229,always_gemini_flash,0.864,0.0001908728,0.864,0.088,0.0,0.912
gemini_llama,"gemini_flash,llama_70b",229,always_llama_70b,0.888,4.769864000000001e-05,0.888,0.064,0.0,0.088
gemini_llama,"gemini_flash,llama_70b",229,random,0.872,0.00010211260000000002,0.872,0.08,0.0,0.408
gemini_llama,"gemini_flash,llama_70b",229,oracle,0.952,0.00017171296000000004,0.952,0.0,0.0,1.0
gemini_llama,"gemini_flash,llama_70b",229,logistic_router,0.864,0.00015935632,0.864,0.088,0.0,0.744
gemini_llama,"gemini_flash,llama_70b",229,random_forest_router,0.904,0.00016408756000000003,0.904,0.048,0.0,0.832
gemini_llama,"gemini_flash,llama_70b",229,mlp_router,0.872,0.00018671628,0.872,0.08,0.0,0.912
gemini_llama,"gemini_flash,llama_70b",229,tfidf_logistic_router,0.88,0.00017024267999999997,0.88,0.072,0.0,0.816
gemini_llama,"gemini_flash,llama_70b",229,tfidf_mlp_router,0.864,0.0001908728,0.864,0.088,0.0,0.912
gemini_llama,"gemini_flash,llama_70b",230,always_gemini_flash,0.88,0.0001904848,0.88,0.072,0.0,0.928
gemini_llama,"gemini_flash,llama_70b",230,always_llama_70b,0.904,5.2859176e-05,0.904,0.048,0.0,0.072
gemini_llama,"gemini_flash,llama_70b",230,random,0.864,0.00013263881600000002,0.864,0.088,0.0,0.512
gemini_llama,"gemini_flash,llama_70b",230,oracle,0.952,0.00017962276,0.952,0.0,0.0,1.0
gemini_llama,"gemini_flash,llama_70b",230,logistic_router,0.92,0.00015858883999999998,0.92,0.032,0.0,0.752
gemini_llama,"gemini_flash,llama_70b",230,random_forest_router,0.912,0.00016485108000000002,0.912,0.04,0.0,0.816
gemini_llama,"gemini_flash,llama_70b",230,mlp_router,0.896,0.00017785151999999998,0.896,0.056,0.0,0.888
gemini_llama,"gemini_flash,llama_70b",230,tfidf_logistic_router,0.904,0.00016746275999999995,0.904,0.048,0.0,0.824
gemini_llama,"gemini_flash,llama_70b",230,tfidf_mlp_router,0.888,0.00018966336000000001,0.888,0.064,0.0,0.936
gemini_llama,"gemini_flash,llama_70b",231,always_gemini_flash,0.808,0.0001890168,0.808,0.12,0.0,0.88
gemini_llama,"gemini_flash,llama_70b",231,always_llama_70b,0.888,5.057821599999999e-05,0.888,0.04,0.0,0.12
gemini_llama,"gemini_flash,llama_70b",231,random,0.848,0.00012257996,0.848,0.08,0.0,0.48
gemini_llama,"gemini_flash,llama_70b",231,oracle,0.928,0.00016208804,0.928,0.0,0.0,1.0
gemini_llama,"gemini_flash,llama_70b",231,logistic_router,0.832,0.00016376436000000002,0.832,0.096,0.0,0.8
gemini_llama,"gemini_flash,llama_70b",231,random_forest_router,0.856,0.00016199668,0.856,0.072,0.0,0.84
gemini_llama,"gemini_flash,llama_70b",231,mlp_router,0.832,0.00017825340000000002,0.832,0.096,0.0,0.888
gemini_llama,"gemini_flash,llama_70b",231,tfidf_logistic_router,0.84,0.0001722554,0.84,0.088,0.0,0.864
gemini_llama,"gemini_flash,llama_70b",231,tfidf_mlp_router,0.816,0.00018538983999999997,0.816,0.112,0.0,0.872
