policy,accuracy,avg_cost,utility,regret,route_acc
always_cheap_direct,0.68,1.0,0.6300000000000002,0.128,0.7866666666666666
always_escalate_strong,0.8533333333333334,9.0,0.4033333333333333,0.3546666666666665,0.21333333333333335
random,0.7333333333333333,4.946666666666666,0.4859999999999998,0.27199999999999996,0.4266666666666667
oracle,0.8933333333333333,2.7066666666666666,0.7580000000000001,0.0,1.0
threshold_cheap_self_confidence_0.5,0.68,1.0,0.6300000000000002,0.128,0.7866666666666666
threshold_cheap_self_confidence_0.7,0.68,1.0,0.6300000000000002,0.128,0.7866666666666666
threshold_cheap_self_confidence_0.9,0.68,1.0,0.6300000000000002,0.128,0.7866666666666666
logistic_router,0.6933333333333334,3.7733333333333334,0.5046666666666668,0.25333333333333335,0.52
random_forest_router,0.68,1.7466666666666666,0.5926666666666668,0.16533333333333333,0.6933333333333334
mlp_router,0.7066666666666667,1.96,0.6086666666666667,0.14933333333333335,0.72
tfidf_logistic_router,0.6933333333333334,3.1333333333333333,0.5366666666666667,0.22133333333333335,0.6
tfidf_mlp_router,0.68,1.5333333333333334,0.6033333333333335,0.15466666666666667,0.72
